Pot_number,Identification,Watering_treatment,Grass_presence,26/08/21,28/08/21,30/08/21,01/09/21,03/09/21,05/09/21,07/09/21,09/09/21,11/09/21,13/09/21,15/09/21,17/09/21,19/09/21,21/09/21,23/09/21,27/09/21
26,AAAA,DRY,NO_GRASS,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0
27,A,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,B,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,DDDD,DRY,NO_GRASS,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0
30,D,DRY,NO_GRASS,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
31,BBBB,WET,GRASS,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
32,CCCC,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,A,DRY,GRASS,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
34,D,DRY,NO_GRASS,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
35,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,C,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,A,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,DDDD,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,DDDD,WET,GRASS,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3
40,A,DRY,GRASS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,DDDD,WET,GRASS,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3
42,C,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,BBBB,DRY,GRASS,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1
44,C,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,BBBB,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,A,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,D,DRY,GRASS,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
48,DDDD,WET,NO_GRASS,0,0,0,1,1,1,1,0,2,2,2,2,2,2,2,2
49,B,WET,NO_GRASS,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
50,AAAA,WET,GRASS,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
51,D,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
52,C,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,AAAA,WET,GRASS,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
54,A,WET,GRASS,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
55,AAAA,DRY,GRASS,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
56,DDDD,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,D,WET,GRASS,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
58,C,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,DDDD,DRY,GRASS,0,2,2,4,6,6,6,7,7,7,6,6,6,6,6,6
60,A,WET,GRASS,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
61,D,DRY,GRASS,0,0,0,0,1,1,1,1,2,2,2,2,1,1,1,1
62,DDDD,WET,NO_GRASS,0,0,3,4,5,5,5,5,4,3,2,1,1,1,1,1
63,B,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,AAAA,DRY,NO_GRASS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,DDDD,WET,NO_GRASS,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3
66,CCCC,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,C,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,A,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,AAAA,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,DDDD,DRY,NO_GRASS,0,1,1,3,4,4,5,5,5,5,5,5,6,6,6,5
71,AAAA,WET,NO_GRASS,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1
72,C,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,B,WET,NO_GRASS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,BBBB,WET,GRASS,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
75,A,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,DDDD,DRY,GRASS,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
77,CCCC,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,C,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,B,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,A,WET,GRASS,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
81,AAAA,WET,NO_GRASS,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
82,A,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
83,D,DRY,NO_GRASS,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
84,C,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,DDDD,WET,NO_GRASS,0,0,0,0,1,1,1,1,1,2,3,3,4,4,4,4
86,DDDD,WET,GRASS,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1
87,A,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,BBBB,WET,NO_GRASS,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
89,AAAA,WET,NO_GRASS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,B,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,BBBB,DRY,GRASS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,DDDD,WET,GRASS,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3
93,D,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,BBBB,DRY,NO_GRASS,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3
95,B,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,D,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,C,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,CCCC,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,B,WET,NO_GRASS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,B,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,CCCC,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,A,WET,GRASS,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,D,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
104,D,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,C,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,DDDD,DRY,GRASS,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3
107,D,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,A,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,AAAA,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,B,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,C,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,BBBB,WET,NO_GRASS,3,4,5,5,5,5,5,5,4,4,4,4,4,4,4,3
113,B,DRY,NO_GRASS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,A,DRY,GRASS,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,DDDD,DRY,NO_GRASS,1,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1
116,CCCC,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,A,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,AAAA,DRY,NO_GRASS,1,1,2,3,3,3,3,1,1,1,1,1,1,1,1,1
119,C,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,AAAA,WET,GRASS,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
121,B,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,CCCC,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,BBBB,DRY,NO_GRASS,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,B,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,C,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,BBBB,WET,GRASS,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
127,A,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,CCCC,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,C,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,BBBB,DRY,GRASS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,BBBB,DRY,NO_GRASS,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
132,AAAA,DRY,GRASS,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3
133,CCCC,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,B,DRY,NO_GRASS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,B,DRY,NO_GRASS,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
136,DDDD,DRY,GRASS,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
137,CCCC,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,BBBB,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,A,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,AAAA,DRY,GRASS,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
141,B,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,C,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,AAAA,DRY,NO_GRASS,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
144,A,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,AAAA,WET,NO_GRASS,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
146,C,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,D,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,B,DRY,GRASS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,BBBB,DRY,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,CCCC,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,B,WET,NO_GRASS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,DDDD,WET,GRASS,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3
153,D,WET,NO_GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,C,DRY,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,AAAA,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,B,WET,GRASS,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,AAAA,DRY,GRASS,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2
158,CCCC,WET,GRASS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,BBBB,WET,GRASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,A,DRY,NO_GRASS,1,1,2,2,2,2,1,1,1,1,1,1,0,0,0,0
